Rk,,Yrs,Yr-Yr,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%,AvRk,BstRk,Chmp,SBwl,Conf
574,Emmitt Thomas+,8,1995-2007,3,1,2,0,.333,-1,0,0,0,0,,2.9,1,0,0,0
575,Joe Thomas,1,1974,11,2,9,0,.182,-7,0,0,0,0,,5.0,5,0,0,0
576,Jim Thorpe+,4,1920-1923,41,14,25,2,.359,-11,0,0,0,0,,12.0,8,0,0,0
577,Mike Tice,5,2001-2005,65,32,33,0,.492,-1,1,2,1,1,.500,2.4,2,0,0,0
578,Elgie Tobin,2,1920-1921,23,16,3,4,.842,13,0,0,0,0,,2.0,1,1,0,0
579,Vince Tobin,13,1986-2001,71,28,43,0,.394,-15,1,2,1,1,.500,2.9,1,0,0,0
580,Dick Todd,1,1951,9,5,4,0,.556,1,0,0,0,0,,3.0,3,0,0,0
581,Russell Tollefson,1,1922,4,1,3,0,.250,-2,0,0,0,0,,13.0,13,0,0,0
582,Ted Tollner,3,1991-2005,0,0,0,0,,0,0,0,0,0,,4.0,3,0,0,0
583,Mike Tomlin,6,2006-2011,80,55,25,0,.688,30,3,7,5,2,.714,1.5,1,1,1,2
584,Jim Tomsula,1,2010,1,1,0,0,1.000,1,0,0,0,0,,3.0,3,0,0,0
585,Marc Trestman,8,1989-2003,0,0,0,0,,0,0,0,0,0,,2.3,1,0,0,0
586,Mike Trgovac,6,2003-2008,0,0,0,0,,0,0,0,0,0,,1.7,1,0,0,0
587,Jim Trimble,4,1952-1955,48,25,20,3,.556,5,0,0,0,0,,2.5,2,0,0,0
588,Mel Tucker,4,2008-2011,5,2,3,0,.400,-1,0,0,0,0,,3.2,2,0,0,0
589,Bulldog Turner+,1,1962,14,5,9,0,.357,-4,0,0,0,0,,4.0,4,0,0,0
590,Norv Turner,21,1991-2011,221,107,113,1,.486,-6,4,8,4,4,.500,2.4,1,0,0,0
591,Ron Turner,9,1993-2009,0,0,0,0,,0,0,0,0,0,,2.4,1,0,0,0
592,Richard Urich,1,1980,0,0,0,0,,0,0,0,0,0,,3.0,3,0,0,0
593,Rube Ursella,3,1920-1925,24,12,8,4,.600,4,0,0,0,0,,8.3,4,0,0,0
594,Norm Van Brocklin+,13,1961-1974,173,66,100,7,.398,-34,0,0,0,0,,3.9,2,0,0,0
595,Alex Van Pelt,1,2009,0,0,0,0,,0,0,0,0,0,,4.0,4,0,0,0
596,Brian VanGorder,4,2008-2011,0,0,0,0,,0,0,0,0,0,,1.8,1,0,0,0
597,Jim Vechiarella,4,1990-2001,0,0,0,0,,0,0,0,0,0,,4.8,4,0,0,0
598,Rick Venturi,11,1984-2008,19,2,17,0,.105,-15,0,0,0,0,,3.8,2,0,0,0
599,Dick Vermeil,15,1976-2005,229,120,109,0,.524,11,6,11,6,5,.545,2.8,1,1,1,2
600,Joe Vitt,1,2005,11,4,7,0,.364,-3,0,0,0,0,,2.0,2,0,0,0
Rk,,Yrs,Yr-Yr,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%,AvRk,BstRk,Chmp,SBwl,Conf
601,Dick Voris,1,1971,0,0,0,0,,0,0,0,0,0,,4.0,4,0,0,0
602,Carl Voyles,1,1948,14,2,12,0,.143,-10,0,0,0,0,,4.0,4,0,0,0
603,Charlie Waller,2,1969-1970,19,9,7,3,.563,2,0,0,0,0,,3.0,3,0,0,0
604,Ron Waller,1,1973,6,1,5,0,.167,-4,0,0,0,0,,4.0,4,0,0,0
605,Adam Walsh,2,1945-1946,21,15,5,1,.750,10,1,1,1,0,1.000,1.5,1,1,0,0
606,Bill Walsh,11,1976-1988,152,92,59,1,.609,33,7,14,10,4,.714,1.9,1,3,3,3
607,Chile Walsh,1,1934,3,1,2,0,.333,-1,0,0,0,0,,5.0,5,0,0,0
